"ID","expFix","fix","early","late","missing","errenousDates","noFix","outBounds"
"CollarID 80379 BullID 5175",2279,0,0,0,99.8685363716039,0,0.0876424189307625,0.0438212094653812
"CollarID 80378 BullID 5175",19773,31.3575609329955,1.58993622783262,4.45094784659736,48.9691622259107,0.117934830086486,2.61640604525203,10.8980518913252
"CollarID 80383 BullID 32",272,0,0,0,12.4200913242009,0.502283105022831,6.16438356164384,80.9132420091324
"CollarID 80382 BullID 32",4609,0,0,0,100,0,0,0
"CollarID 80382 BullID 453",238,0,0,0,100,0,0,0
"CollarID 80384 BullID 82",20043,34.0437222810942,2.34703088818242,4.34082970289258,37.9331998901056,0.145217630205267,0.10989442285804,21.0801051846619
"CollarID 80380 BullID 143",20031,0,0,0,53.2980336854429,0,46.7019663145571,0
"CollarID 80391 BullID 934",20047,34.1213418001104,1.86016013252347,3.25786858089453,29.9454721148537,0.138045278851463,2.16731087796797,28.5098012147985
"CollarID 80390 BullID 941",20034,60.9585284563135,2.73383116061258,6.75441927182213,14.0741678268574,0.101253005948614,0.181411635657934,15.1963886427878
"CollarID 80381 BullID 6035",20032,24.4016247608178,2.07123434824935,3.33344523146128,37.4399946288899,0.114136090503206,0.224915237168082,32.4146497029105
"CollarID 80387 BullID 7245",4961,20.0474094141551,2.5172141325206,3.46540241562253,29.9695225194717,0.112879557512135,4.37972683147082,39.5078451292471
"CollarID 80389 BullID 8172",20037,27.3072492213167,2.26991509152195,4.2752912062124,51.6405683321244,0.200537611469045,0.627213380552119,13.6792251568033
"CollarID 80386 BullID 8239",20042,31.7570733465489,2.12650928095152,3.49972968102361,34.8531266894936,0.100919084519733,2.77527482429267,24.8873670931699
"CollarID 80388 BullID 8267",10722,1.36291600633914,0.153195985208664,0.554675118858954,54.5694664553619,0.0792393026941363,18.3835182250396,24.8969889064976
"CollarID 80385 BullID 8294",20038,26.9536753128367,1.7734316731582,4.18911079804425,50.111875362559,0.19060246954504,7.68210822905445,9.09919615480235
