"ID","expFix","fix","early","late","missing","errenousDates","noFix","outBounds"
"CollarID 80379 BullID 5175",7289,33.6344211344211,2.18531468531469,13.8014763014763,21.1732711732712,0.106837606837607,0.466200466200466,28.6324786324786
"CollarID 80378 BullID 5175",18,0,0,0,100,0,0,0
"CollarID 80383 BullID 32",7236,0,0,0,100,0,0,0
"CollarID 80382 BullID 453",7207,40.2219140083218,2.48586365091219,12.6106902805932,21.5726021551264,0.13869625520111,0.960204843699989,22.0100288061453
"CollarID 80384 BullID 82",7231,47.3396424815983,1.9348054679285,12.2187171398528,14.5425867507886,0.0736067297581493,0.315457413249211,23.5751840168244
"CollarID 80380 BullID 143",7265,9.4052242784251,1.11187266773285,5.84113928870612,38.968852334171,0.2208514203031,34.0111187266773,10.4409412839845
"CollarID 80391 BullID 934",7215,38.7886727804092,2.74110652020558,13.493903053512,17.6861836138265,0.171319157512849,2.91242567771843,24.2063891968155
"CollarID 80390 BullID 941",7215,38.854723258393,2.18772053634439,13.721141244077,17.9756023792721,0.080653291662466,0.312531505192056,26.867627785059
"CollarID 80381 BullID 6035",7244,44.0201729106628,1.95553725813092,12.7521613832853,15.8295594895019,0.092630712227254,0.339645944833265,25.0102923013586
"CollarID 80387 BullID 7245",7232,34.3509187907528,3.54672989527761,13.6830665876309,19.8676150958309,0.2371072910492,6.61924520845683,21.6953171310018
"CollarID 80389 BullID 8172",7223,36.9359387590653,3.2634971796938,14.0813859790492,18.4730056406124,0.130942788074134,3.73690572119259,23.3783239323127
"CollarID 80386 BullID 8239",7242,29.9272116461366,2.01567749160134,9.96640537513998,25.6718924972004,0.373273609555804,1.38111235535648,30.6644270250093
"CollarID 80388 BullID 8267",7230,27.6178481468154,1.83519251529327,8.36631881971932,27.2220223101835,0.575746671464556,19.5753868297949,14.807484706729
"CollarID 80385 BullID 8294",7249,0,0,0,78.4099513250406,0,21.5900486749594,0
