"ID","expFix","fix","early","late","missing","errenousDates","noFix","outBounds"
"CollarID 80379 BullID 5175",9568,27.5321990777548,1.788837653045,11.2975035776753,35.4507870885673,0.0874542852599777,0.397519478454444,23.4456988392431
"CollarID 80378 BullID 5175",19791,31.3329259776536,1.58868715083799,4.44745111731844,49.0092527932961,0.11784217877095,2.61435055865922,10.8894902234637
"CollarID 80383 BullID 32",11845,0,0,0,100,0,0,0
"CollarID 80382 BullID 453",7445,39.225887004474,2.42430548330038,12.2984080740818,23.5147227135574,0.135261679325773,0.936427010716887,21.4649880345438
"CollarID 80384 BullID 82",27274,37.657549515562,2.23498813912944,6.48203721169511,31.5756380576753,0.125753808339764,0.165766383720598,21.7582668838778
"CollarID 80380 BullID 143",27296,2.43522498718303,0.287888945853216,1.51240288677683,49.587885002169,0.0571834207516662,43.4160192451788,2.70339551208739
"CollarID 80391 BullID 934",27262,35.3119617470886,2.08488650093833,5.86904547674747,26.8181701329083,0.146533329905653,2.35738707935937,27.4120157330523
"CollarID 80390 BullID 941",27249,54.4375706382726,2.57272024269823,8.80970792933199,15.2251501992743,0.0951757777645589,0.220093986080543,18.6395812265778
"CollarID 80381 BullID 6035",27276,29.2266801670675,2.04277939501329,5.64991773193267,32.1250474623465,0.10884698139476,0.253132514871535,30.5935957473737
"CollarID 80387 BullID 7245",12193,27.6750434645171,3.0662241188557,8.91417733522997,24.5824772140562,0.179126494915969,5.57399504767926,30.0089563247458
"CollarID 80389 BullID 8172",27260,30.1723362805335,2.56556271542035,7.19316649183276,41.7713172486138,0.179829162295819,1.5525251011539,16.5652630001499
"CollarID 80386 BullID 8239",27284,31.2472374613245,2.09562933881074,5.30147422063909,32.2950521307298,0.176802475234653,2.38683341566782,26.4969709575934
"CollarID 80388 BullID 8267",17952,11.0763495972842,0.775477601011782,3.444718098915,44.4518405112161,0.262930173733608,18.8244691473075,21.1642148705319
"CollarID 80385 BullID 8294",27287,19.4883010275922,1.2822433266425,3.02885047484946,57.9496090356212,0.137811198657839,11.5341981485365,6.5789867881003
