Product Type: Litetrack 330 TL
Product ID: 961
Firmware Version: V8.106.0

GMT Time,Latitude,Longitude,Altitude,Duration,Temperature,DOP,Satellites,Cause of Fix
2021-05-27 4:15:37 PM,51.3413210,-114.3780612,1271.08,38,14.5,3.4,5,GPS Schedule
2021-05-27 4:20:01 PM,51.3415180,-114.3783863,1272.75,3,15.5,3.8,5,GPS Schedule
2021-05-27 4:26:13 PM,0.0000000,0.0000000,0.00,70,17.0,0,0,GPS Schedule
2021-05-27 4:31:10 PM,0.0000000,0.0000000,0.00,70,17.5,0,0,GPS Schedule
2021-05-27 4:36:10 PM,0.0000000,0.0000000,0.00,70,18.5,0,0,GPS Schedule
2021-05-27 4:41:10 PM,0.0000000,0.0000000,0.00,70,18.5,0,0,GPS Schedule
2021-05-27 4:46:10 PM,0.0000000,0.0000000,0.00,70,19.5,0,0,GPS Schedule
2021-05-27 4:51:28 PM,0.0000000,0.0000000,0.00,70,19.5,0,0,GPS Schedule
2021-05-27 4:56:28 PM,0.0000000,0.0000000,0.00,70,19.5,0,0,GPS Schedule
2021-05-27 5:01:10 PM,0.0000000,0.0000000,0.00,70,19.5,0,0,GPS Schedule
2021-05-27 5:06:10 PM,0.0000000,0.0000000,0.00,70,19.0,0,0,GPS Schedule
2021-05-27 5:11:10 PM,51.3439619,-114.3761771,0.04,70,19.5,5.2,3,GPS Schedule
2021-05-27 5:16:10 PM,0.0000000,0.0000000,0.00,70,20.0,0,0,GPS Schedule
2021-05-27 5:21:10 PM,0.0000000,0.0000000,0.00,70,21.0,0,0,GPS Schedule
2021-05-27 5:25:35 PM,51.3431728,-114.3784031,1289.36,36,21.0,5,5,GPS Schedule
2021-05-27 5:31:10 PM,51.3429994,-114.3787605,1258.70,70,22.5,5.4,5,GPS Schedule
2021-05-27 5:35:51 PM,51.3430555,-114.3786500,1262.67,53,23.0,3.6,5,GPS Schedule
2021-05-27 5:40:14 PM,51.3430440,-114.3786762,1262.41,16,23.0,3.6,5,GPS Schedule
2021-05-27 5:46:03 PM,51.3432363,-114.3780006,1304.20,65,24.0,3.8,5,GPS Schedule
2021-05-27 5:50:12 PM,51.3431256,-114.3784482,1283.32,14,24.0,4,5,GPS Schedule
2021-05-27 5:55:33 PM,51.3430594,-114.3784495,1277.69,35,24.5,4.6,5,GPS Schedule
2021-05-27 6:00:10 PM,51.3431013,-114.3779332,1313.66,12,24.5,4.8,5,GPS Schedule
2021-05-27 6:05:10 PM,51.3429949,-114.3786682,1288.55,12,24.5,5.2,5,GPS Schedule
2021-05-27 6:10:47 PM,51.3431098,-114.3782761,1284.72,48,24.5,8,4,GPS Schedule
2021-05-27 6:15:01 PM,51.3431496,-114.3782146,1317.03,2,24.5,5.6,5,GPS Schedule
2021-05-27 6:20:02 PM,51.3431948,-114.3778938,1305.33,4,24.0,5.8,5,GPS Schedule
2021-05-27 6:26:10 PM,51.3432418,-114.3797267,1132.12,70,23.5,2.6,5,GPS Schedule
2021-05-27 6:31:06 PM,51.3430608,-114.3785657,1260.91,67,23.5,3.2,5,GPS Schedule
2021-05-27 6:35:01 PM,51.3428225,-114.3784958,1248.83,3,22.0,3.2,5,GPS Schedule
2021-05-27 6:40:36 PM,51.3430183,-114.3786310,1258.30,38,21.0,2.2,5,GPS Schedule
2021-05-27 6:45:01 PM,51.3429439,-114.3786084,1238.02,3,20.5,2.4,5,GPS Schedule
2021-05-27 6:50:51 PM,51.3430295,-114.3786157,1271.39,53,20.5,1.8,5,GPS Schedule
2021-05-27 6:55:07 PM,51.3428637,-114.3787178,1246.45,8,20.5,1.8,5,GPS Schedule
2021-05-27 7:00:02 PM,51.3430428,-114.3785338,1277.88,4,20.5,1.8,5,GPS Schedule
2021-05-27 7:05:00 PM,51.3429759,-114.3786380,1235.18,2,21.0,1.8,5,GPS Schedule
2021-05-27 7:10:01 PM,51.3429684,-114.3786631,1251.22,3,21.5,1.8,5,GPS Schedule
2021-05-27 7:15:06 PM,51.3430684,-114.3786204,1271.76,7,22.0,1.8,5,GPS Schedule
2021-05-27 7:20:07 PM,51.3433343,-114.3784434,1298.04,8,22.5,1.8,5,GPS Schedule
2021-05-27 7:25:36 PM,51.3430488,-114.3785598,1260.70,37,23.5,1,6,GPS Schedule
2021-05-27 7:30:02 PM,51.3430965,-114.3786357,1264.14,3,23.5,1,6,GPS Schedule
2021-05-27 7:35:00 PM,51.3429404,-114.3785587,1261.39,2,23.5,1,6,GPS Schedule
2021-05-27 7:40:00 PM,51.3429706,-114.3786349,1281.75,2,23.0,2.2,5,GPS Schedule
2021-05-27 7:45:02 PM,51.3431426,-114.3786523,1262.60,4,23.5,1.4,5,GPS Schedule
2021-05-27 7:51:10 PM,51.3426803,-114.3804002,0.11,70,23.5,3.4,3,GPS Schedule
2021-05-27 7:56:10 PM,51.3421819,-114.3807192,-0.35,70,23.5,3.8,3,GPS Schedule
2021-05-27 8:01:07 PM,51.3426703,-114.3783823,1158.65,70,23.5,2.8,4,GPS Schedule
2021-05-27 8:06:10 PM,51.3430546,-114.3787960,1257.63,70,23.5,5.2,4,GPS Schedule
