"ID","expFix","fix","noFix","early","late","missing","outBounds","errenousDates"
"CollarID 80379 BullID 5175",2279,0,0.0438404208680403,0,0,99.9123191582639,0.0438404208680403,0
"CollarID 80378 BullID 5175",19773,80.8563038742067,5.02983802216539,0.388367907549493,0.53518992137918,11.8689021502321,1.27403618452212,0.0473619399450601
"CollarID 80383 BullID 32",272,0,0,0,0,98.9090909090909,0,1.09090909090909
"CollarID 80382 BullID 32",4609,94.9073087577243,1.08672490943959,0.554016620498615,0.831024930747922,1.91774984018751,0.66055827828681,0.0426166631152781
"CollarID 80382 BullID 453",238,0,0,0,0,100,0,0
"CollarID 80384 BullID 82",20043,67.917282127031,0.137863121614968,1.88577055637617,0.925652387986214,27.9566715903496,0.142786804529788,1.03397341211226
"CollarID 80380 BullID 143",20031,0,14.8873322643261,0,0,84.5261203477087,0,0.586547387965229
"CollarID 80391 BullID 934",20047,85.8819568040791,2.95348501611429,0.557987397181202,0.827360623406609,9.16349992784646,0.543556688633412,0.0721535427389485
"CollarID 80390 BullID 941",20034,91.4558377652965,0.213728316516725,0.367811521447388,0.636214523584671,7.11764998260351,0.168994482827178,0.039763407724042
"CollarID 80381 BullID 6035",20032,79.7045978703567,0.294420727219196,2.43878502379901,1.06972864222975,15.0841552578635,0.235536581775357,1.17277589675646
"CollarID 80387 BullID 7245",4961,78.0205415499533,4.94864612511671,1.86741363211951,2.55835667600373,10.1960784313725,2.25957049486461,0.149393090569561
"CollarID 80389 BullID 8172",20037,75.2826435052647,0.829734581978747,1.89237711679363,1.47023145227813,18.5792614876996,0.538599640933573,1.40715221505168
"CollarID 80386 BullID 8239",20042,72.5466015272969,3.53365270597164,1.10989897073472,1.09092633875634,20.314945690841,0.953374756913153,0.450600009486316
"CollarID 80388 BullID 8267",10722,33.6768546622432,23.5406225735865,0.268228982847462,0.317639584950942,41.4202018776029,0.656455142231947,0.119997176537023
"CollarID 80385 BullID 8294",20038,69.9818928587201,10.8642847679194,0.507883231020624,0.746367530804222,17.2591971028574,0.591794373537076,0.0485801351411032
