Collar_On,Collar_Off,Collar_ID,Calf_ID
2021-05-27 8:47,2021-06-17 10:55,955,6237
2021-05-27 8:48,2021-06-17 10:45,956,3127
2021-05-27 9:12,2021-06-17 10:40,957,6207
2021-05-27 9:26,2021-06-17 10:58,958,6164
2021-05-27 9:41,2021-06-17 10:50,959,150
2021-05-27 9:56,2021-06-17 10:48,960,8272
2021-05-27 10:13,2021-06-17 10:53,961,196
2021-05-27 10:29,2021-06-17 10:37,962,155
2021-05-27 10:43,2021-06-17 10:42,963,6150
2021-05-27 10:58,2021-06-17 10:35,964,8173
