"ID","expFix","fix","early","late","missing","errenousDates","noFix","outBounds"
"CollarID 80379 BullID 5175",7289,38.7230235938723,2.51593425025159,15.889522531589,-9.24745611092474,0.1230012300123,0.536732640053673,32.9643296432964
"CollarID 80378 BullID 5175",18,0,0,0,100,0,0,0
"CollarID 80383 BullID 32",7236,0,0,0,100,0,0,0
"CollarID 80382 BullID 453",7207,50.3002001334223,3.10873915943963,15.7705136757839,-1.9212808539026,0.173448965977318,1.20080053368913,27.5250166777852
"CollarID 80384 BullID 82",7231,49.8947135099191,2.03923307104067,12.878200155159,-9.93017843289372,0.0775795190069822,0.332483652887066,24.8476116590934
"CollarID 80380 BullID 143",7265,14.0933470272738,1.66609608581536,8.75271025904371,-8.54730115257332,0.330936893757846,50.9642816387082,15.6453269428278
"CollarID 80391 BullID 934",7215,42.1993202499726,2.98212915250521,14.6804078500164,-10.4484157438877,0.186383072031575,3.16851222453678,26.3348317070497
"CollarID 80390 BullID 941",7215,42.5527216517611,2.39593684442972,15.0270508998565,-10.1689301093077,0.0883294689190681,0.342276692061389,29.4247543336646
"CollarID 80381 BullID 6035",7244,46.9381035996488,2.08516242317823,13.5974539069359,-10.2502194907814,0.0987708516242318,0.36215978928885,26.6681299385426
"CollarID 80387 BullID 7245",7232,38.6763070077864,3.99332591768632,15.4060066740823,-9.77753058954394,0.266963292547275,7.45272525027809,24.4271412680756
"CollarID 80389 BullID 8172",7223,40.9035136642499,3.61405465699944,15.5939765755717,-9.71556051310652,0.145008365867262,4.138315672058,25.8895705521472
"CollarID 80386 BullID 8239",7242,36.9129834254144,2.48618784530387,12.292817679558,-8.32182320441989,0.460405156537753,1.70349907918969,37.8222836095764
"CollarID 80388 BullID 8267",7230,34.3016759776536,2.27932960893855,10.391061452514,-9.60893854748603,0.715083798882682,24.3128491620112,18.391061452514
"CollarID 80385 BullID 8294",7249,0,0,0,72.4651676093254,0,27.5348323906746,0
