"ID","expFix","fix","early","late","missing","errenousDates","noFix","outBounds"
"CollarID 80379 BullID 5175",2279,0,0,0,99.8683633172444,0,0.0877577885037297,0.0438788942518649
"CollarID 80378 BullID 5175",19773,36.3070854195115,1.84089414858646,5.15349213574066,40.9143781924847,0.136549840691853,3.02938350275628,12.6182167602286
"CollarID 80383 BullID 32",272,0,0,0,-46.1840628507295,0.308641975308642,3.78787878787879,49.7194163860831
"CollarID 80382 BullID 32",4609,0,0,0,100,0,0,0
"CollarID 80382 BullID 453",238,0,0,0,100,0,0,0
"CollarID 80384 BullID 82",20043,43.2769545477224,2.98358529162301,5.5181360075837,21.0996357830664,0.184603103327845,0.139699645761613,26.797385620915
"CollarID 80380 BullID 143",20031,0,0,0,12.3758174829015,0,87.6241825170985,0
"CollarID 80391 BullID 934",20047,48.1095810422851,2.62274341881174,4.59345044036787,-1.22621770230159,0.194637730524062,3.05581236922777,40.1975572964819
"CollarID 80390 BullID 941",20034,69.8019323671498,3.1304347826087,7.73429951690821,-1.60869565217391,0.115942028985507,0.207729468599034,17.4009661835749
"CollarID 80381 BullID 6035",20032,36.2869408945687,3.08007188498403,4.95706869009585,6.96884984025559,0.169728434504792,0.334464856230032,48.202875399361
"CollarID 80387 BullID 7245",4961,23.8485296092386,2.99449442728616,4.12246542231771,-16.6912850812408,0.134282261313281,5.21015173895528,46.9987914596482
"CollarID 80389 BullID 8172",20037,31.9409093177621,2.65508808703898,5.00074861506214,43.4346459050756,0.234566052802316,0.733642760892349,16.0003992613665
"CollarID 80386 BullID 8239",20042,43.9626783754116,2.9438179822373,4.84482586568207,9.81438978145894,0.139706616106177,3.84193194291987,34.452649436184
"CollarID 80388 BullID 8267",10722,2.40626748740907,0.270471926879314,0.97929490766648,19.7910837530311,0.139899272523783,32.4566312255176,43.9563514269726
"CollarID 80385 BullID 8294",20038,32.4633196925841,2.13594171074958,5.04541371394351,39.9141630901288,0.229563828725422,9.25242040123765,10.959177562631
