"ID","expFix","fix","early","late","missing","errenousDates","noFix","outBounds"
"CollarID 955 Calf 6237",6074,40.4976356676424,27.8090520153119,0.0562936275613601,15.8072506192299,0,15.8297680702544,0
"CollarID 956 Calf 3127",6072,37.7291242362525,24.0529531568228,0.0305498981670061,19.0835030549898,0,19.1038696537678,0
"CollarID 957 Calf 6207",6066,37.8279739593608,21.7794436772539,0.197277569540343,20.0828565792069,0,20.112448214638,0
"CollarID 958 Calf 6164",6067,39.894609726644,26.62202217587,0.0658689208475134,16.6977714348447,0,16.7197277417938,0
"CollarID 959 Calf 150",6062,39.2671341325492,29.1789187966523,0.0904772675865189,15.7204252431577,0,15.7430445600543,0
"CollarID 960 Calf 8272",6060,34.5500459136823,11.7539026629936,0.0535659626568717,26.8135904499541,0,26.8288950107132,0
"CollarID 961 Calf 196",6053,38.479809976247,23.9182071672002,0.103273778787566,18.7441908499432,0,18.754518227822,0
"CollarID 962 Calf 155",6051,40.3520726859739,28.2793867120954,0.0681431005110733,15.6388415672913,0,15.6615559341283,0
"CollarID 963 Calf 6150",6035,39.5648928228645,24.7200597205929,0.0426575663858377,17.8201983576837,0,17.8521915324731,0
"CollarID 964 Calf 8173",6048,39.4974652854309,27.0994048931012,0.0440819925060613,16.6740136654177,0,16.6850341635442,0
