Product Type: Litetrack 330 TL
Product ID: 955
Firmware Version: V8.106.0

GMT Time,Latitude,Longitude,Altitude,Duration,Temperature,DOP,Satellites,Cause of Fix
2021-05-27 2:41:10 PM,0.0000000,0.0000000,0.00,70,16.5,0,0,GPS Schedule
2021-05-27 2:46:10 PM,0.0000000,0.0000000,0.00,70,17.5,0,0,GPS Schedule
2021-05-27 2:51:10 PM,0.0000000,0.0000000,0.00,70,17.5,0,0,GPS Schedule
2021-05-27 2:56:10 PM,0.0000000,0.0000000,0.00,70,18.0,0,0,GPS Schedule
2021-05-27 3:01:10 PM,0.0000000,0.0000000,0.00,70,18.0,0,0,GPS Schedule
2021-05-27 3:06:10 PM,0.0000000,0.0000000,0.00,70,18.5,0,0,GPS Schedule
2021-05-27 3:11:10 PM,0.0000000,0.0000000,0.00,70,18.5,0,0,GPS Schedule
2021-05-27 3:16:10 PM,0.0000000,0.0000000,0.00,70,19.0,0,0,GPS Schedule
2021-05-27 3:21:06 PM,51.3429146,-114.3784660,1249.60,65,19.5,2.2,5,GPS Schedule
2021-05-27 3:25:03 PM,51.3428276,-114.3783594,1263.74,3,19.0,2.4,5,GPS Schedule
2021-05-27 3:30:54 PM,51.3428537,-114.3786163,1304.96,53,20.0,3,5,GPS Schedule
2021-05-27 3:35:04 PM,51.3428217,-114.3785697,1277.07,3,19.5,3,5,GPS Schedule
2021-05-27 3:40:02 PM,51.3429678,-114.3783839,1242.30,2,19.5,3,5,GPS Schedule
2021-05-27 3:45:33 PM,51.3428764,-114.3783890,1263.24,33,20.0,2.2,6,GPS Schedule
2021-05-27 3:50:13 PM,51.3429071,-114.3785710,1292.52,12,20.5,2.2,6,GPS Schedule
2021-05-27 3:55:01 PM,51.3427812,-114.3784903,1283.24,0,21.0,3.6,5,GPS Schedule
2021-05-27 4:00:08 PM,51.3429546,-114.3786102,1301.11,7,21.0,2.2,6,GPS Schedule
2021-05-27 4:05:05 PM,51.3430011,-114.3783104,1257.27,4,21.5,2,6,GPS Schedule
2021-05-27 4:10:01 PM,51.3430220,-114.3782816,1232.36,0,22.0,2.6,5,GPS Schedule
2021-05-27 4:15:01 PM,51.3429237,-114.3785003,1238.54,0,22.5,2.6,5,GPS Schedule
2021-05-27 4:20:14 PM,51.3427586,-114.3785334,1312.15,13,23.0,2,6,GPS Schedule
2021-05-27 4:25:01 PM,51.3425155,-114.3783191,1346.59,0,23.0,2.8,5,GPS Schedule
2021-05-27 4:30:02 PM,51.3428701,-114.3784936,1267.64,2,22.5,2.2,6,GPS Schedule
2021-05-27 4:35:06 PM,51.3427695,-114.3785365,1266.36,5,22.5,2.2,6,GPS Schedule
2021-05-27 4:40:05 PM,51.3429458,-114.3784268,1251.95,4,22.5,2.2,6,GPS Schedule
2021-05-27 4:45:03 PM,51.3428269,-114.3783841,1242.04,3,23.0,2.4,6,GPS Schedule
2021-05-27 4:51:10 PM,0.0000000,0.0000000,0.00,70,23.5,0,0,GPS Schedule
2021-05-27 4:56:09 PM,51.3508814,-114.3769546,232.00,70,23.5,3.2,4,GPS Schedule
2021-05-27 5:00:33 PM,51.3429467,-114.3783760,1272.35,33,23.0,2.4,5,GPS Schedule
2021-05-27 5:05:18 PM,51.3429031,-114.3782881,1272.39,18,23.5,4,4,GPS Schedule
2021-05-27 5:11:06 PM,51.3429762,-114.3785397,1267.16,65,24.5,2.8,5,GPS Schedule
2021-05-27 5:15:07 PM,51.3428675,-114.3783915,1269.15,7,25.5,2.6,4,GPS Schedule
2021-05-27 5:20:36 PM,51.3429541,-114.3784399,1253.77,35,27.5,3.4,5,GPS Schedule
